latitude,longitude
51.2504,-179.0842
63.5387,-171.7582
63.5387,-170.8425
53.4190,-168.0952
65.7072,-167.1795
53.4190,-167.1795
65.7072,-166.2637
64.9843,-166.2637
59.9245,-166.2637
68.5985,-165.3480
66.4300,-165.3480
65.7072,-165.3480
64.9843,-165.3480
62.0930,-165.3480
61.3701,-165.3480
68.5985,-164.4322
67.8757,-164.4322
66.4300,-164.4322
65.7072,-164.4322
64.9843,-164.4322
62.8158,-164.4322
62.0930,-164.4322
61.3701,-164.4322
60.6473,-164.4322
54.8646,-164.4322
68.5985,-163.5165
67.8757,-163.5165
67.1528,-163.5165
65.7072,-163.5165
64.9843,-163.5165
62.8158,-163.5165
62.0930,-163.5165
61.3701,-163.5165
60.6473,-163.5165
59.9245,-163.5165
54.8646,-163.5165
69.3213,-162.6007
68.5985,-162.6007
67.8757,-162.6007
67.1528,-162.6007
65.7072,-162.6007
64.9843,-162.6007
62.8158,-162.6007
62.0930,-162.6007
61.3701,-162.6007
60.6473,-162.6007
70.0442,-161.6850
69.3213,-161.6850
68.5985,-161.6850
67.8757,-161.6850
67.1528,-161.6850
66.4300,-161.6850
65.7072,-161.6850
64.9843,-161.6850
62.8158,-161.6850
62.0930,-161.6850
61.3701,-161.6850
60.6473,-161.6850
59.9245,-161.6850
59.2016,-161.6850
55.5875,-161.6850
70.0442,-160.7692
69.3213,-160.7692
68.5985,-160.7692
67.8757,-160.7692
67.1528,-160.7692
66.4300,-160.7692
65.7072,-160.7692
64.9843,-160.7692
64.2615,-160.7692
63.5387,-160.7692
62.8158,-160.7692
62.0930,-160.7692
61.3701,-160.7692
60.6473,-160.7692
59.9245,-160.7692
59.2016,-160.7692
55.5875,-160.7692
70.0442,-159.8535
69.3213,-159.8535
68.5985,-159.8535
67.8757,-159.8535
67.1528,-159.8535
66.4300,-159.8535
65.7072,-159.8535
64.9843,-159.8535
64.2615,-159.8535
63.5387,-159.8535
62.8158,-159.8535
62.0930,-159.8535
61.3701,-159.8535
60.6473,-159.8535
59.9245,-159.8535
59.2016,-159.8535
56.3103,-159.8535
70.7670,-158.9377
70.0442,-158.9377
69.3213,-158.9377
68.5985,-158.9377
67.8757,-158.9377
67.1528,-158.9377
66.4300,-158.9377
65.7072,-158.9377
64.9843,-158.9377
64.2615,-158.9377
63.5387,-158.9377
62.8158,-158.9377
62.0930,-158.9377
61.3701,-158.9377
60.6473,-158.9377
59.9245,-158.9377
59.2016,-158.9377
58.4788,-158.9377
56.3103,-158.9377
70.7670,-158.0220
70.0442,-158.0220
69.3213,-158.0220
68.5985,-158.0220
67.8757,-158.0220
67.1528,-158.0220
66.4300,-158.0220
65.7072,-158.0220
64.9843,-158.0220
64.2615,-158.0220
63.5387,-158.0220
62.8158,-158.0220
62.0930,-158.0220
61.3701,-158.0220
60.6473,-158.0220
59.9245,-158.0220
59.2016,-158.0220
57.0331,-158.0220
21.6142,-158.0220
70.7670,-157.1062
70.0442,-157.1062
69.3213,-157.1062
68.5985,-157.1062
67.8757,-157.1062
67.1528,-157.1062
66.4300,-157.1062
65.7072,-157.1062
64.9843,-157.1062
64.2615,-157.1062
63.5387,-157.1062
